
07.10.2023,אריאל,15,10
07.10.2023,עשאהל,11,24

09.10.2023,ענב,22,00
08.10.2023,מגדל עוז,21,17

14.10.2023,כרמיה,21,50
14.10.2023,זיקים,21,50
14.10.2023,מעלה מכמש,02,05
13.10.2023,מעלה אפרים,21,36
13.10.2023,ביתר עילית,21,17
13.10.2023,חניתה,16,32
13.10.2023,חניתה,16,30
12.10.2023,חלמיש,23,09
12.10.2023,פטיש,22,08
11.10.2023,גבע בנימין,22,23
11.10.2023,בקעות,19,48
11.10.2023,מעלות תרשיחא,18,59
11.10.2023,מעיין ברוך,18,31
11.10.2023,מעיין ברוך,18,31
11.10.2023,מעיין ברוך,18,30
